date,time,Temperature,Humidity,WindDir,WindSpe
2023-02-12,06:00:00,23.15,93.6,163.5,0.309
2023-02-12,07:00:00,23.4,92.9,244.5,0.4945
2023-02-12,08:00:00,24.1,91.7,117.5,0.239
2023-02-12,09:00:00,24.75,88.3,100.35,0.255
2023-02-12,10:00:00,25.65,83.4,154.5,0.5775
2023-02-12,11:00:00,26.6,80.30000000000001,164.15,0.5429999999999999
2023-02-12,12:00:00,26.65,81.4,111.5,0.4845
2023-02-12,13:00:00,28.55,74.4,132.0,0.7090000000000001
2023-02-12,14:00:00,29.3,72.5,133.0,0.9195
2023-02-12,15:00:00,29.5,70.69999999999999,171.0,0.979
2023-02-12,16:00:00,28.5,75.05000000000001,121.65,0.673
2023-02-12,17:00:00,27.3,80.9,242.5,0.8345
2023-02-13,06:00:00,23.3,94.35,151.0,0.875
2023-02-13,07:00:00,23.3,94.5,177.0,0.5515
2023-02-13,08:00:00,23.45,94.55,124.5,0.356
2023-02-13,09:00:00,23.75,94.2,173.0,0.7515
2023-02-13,10:00:00,24.450000000000003,92.6,104.75,0.497
2023-02-13,11:00:00,25.7,85.65,175.5,0.598
2023-02-13,12:00:00,26.7,81.4,135.0,0.7424999999999999
2023-02-13,13:00:00,28.0,76.0,186.0,1.22
2023-02-13,14:00:00,28.65,73.1,199.5,1.74
2023-02-13,15:00:00,28.85,72.65,191.0,1.765
2023-02-13,16:00:00,27.95,77.8,159.1,1.38
2023-02-13,17:00:00,26.35,83.8,167.5,1.415
2023-02-14,06:00:00,22.3,93.85,119.0,0.4915
2023-02-14,07:00:00,22.45,94.0,232.0,0.424
2023-02-14,08:00:00,22.75,93.8,239.5,0.9235
2023-02-14,09:00:00,23.85,92.3,120.5,0.5065
2023-02-14,10:00:00,24.55,88.55,204.5,1.073
2023-02-14,11:00:00,25.95,84.55,126.5,0.671
2023-02-14,12:00:00,26.85,80.95,143.5,0.6785
2023-02-14,13:00:00,28.15,74.9,226.0,1.37
2023-02-14,14:00:00,29.05,73.5,144.0,0.9985
2023-02-14,15:00:00,28.75,75.0,153.5,1.0685
2023-02-14,16:00:00,28.3,76.05000000000001,248.5,0.6565000000000001
2023-02-14,17:00:00,27.200000000000003,79.65,187.5,1.4
2023-02-15,06:00:00,23.25,93.0,228.5,0.6665000000000001
2023-02-15,07:00:00,23.25,93.0,196.0,0.299
2023-02-15,08:00:00,23.5,93.35,167.0,0.383
2023-02-15,09:00:00,23.65,93.1,238.5,0.837
2023-02-15,10:00:00,24.15,91.15,233.0,1.065
2023-02-15,11:00:00,24.35,88.7,221.5,2.215
2023-02-15,12:00:00,24.8,87.15,216.5,1.845
2023-02-15,13:00:00,25.700000000000003,83.4,233.0,1.5699999999999998
2023-02-15,14:00:00,26.75,79.44999999999999,238.5,1.4500000000000002
2023-02-15,15:00:00,28.35,74.85,229.5,1.11
2023-02-15,16:00:00,29.25,72.65,228.5,1.65
2023-02-15,17:00:00,28.65,73.1,174.5,1.29
2023-02-16,06:00:00,23.6,92.65,181.5,1.82
2023-02-16,07:00:00,23.5,89.80000000000001,200.5,1.82
2023-02-16,08:00:00,23.6,89.75,177.0,0.9255
2023-02-16,09:00:00,24.35,89.9,185.5,1.395
2023-02-16,10:00:00,25.95,83.85,176.5,1.081
2023-02-16,11:00:00,27.0,79.85,219.5,0.868
2023-02-16,12:00:00,28.1,74.3,249.0,1.28
2023-02-16,13:00:00,29.6,66.25,226.5,1.72
2023-02-16,14:00:00,30.2,62.5,259.0,1.78
2023-02-16,15:00:00,30.85,62.7,243.5,2.25
2023-02-16,16:00:00,31.1,63.75,248.0,2.085
2023-02-16,17:00:00,29.7,69.1,228.0,1.835
2023-02-17,06:00:00,25.200000000000003,82.75,198.5,0.655
2023-02-17,07:00:00,25.4,82.15,231.5,0.5934999999999999
2023-02-17,08:00:00,25.75,82.65,187.0,0.4145
2023-02-17,09:00:00,26.6,80.3,206.0,0.596
2023-02-17,10:00:00,28.0,75.19999999999999,174.0,1.205
2023-02-17,11:00:00,29.0,70.8,216.5,1.155
2023-02-17,12:00:00,28.9,69.1,214.0,1.33
2023-02-17,13:00:00,29.1,68.75,189.0,0.8160000000000001
2023-02-17,14:00:00,30.35,66.1,134.5,0.883
2023-02-17,15:00:00,30.450000000000003,65.65,178.0,0.895
2023-02-17,16:00:00,30.2,67.6,182.5,1.25
2023-02-17,17:00:00,29.85,68.65,211.0,0.9415
2023-02-18,06:00:00,25.65,83.95,265.0,1.0539999999999998
2023-02-18,07:00:00,25.35,85.0,250.0,0.747
2023-02-18,08:00:00,25.85,84.75,167.5,0.8009999999999999
2023-02-18,09:00:00,27.6,78.80000000000001,145.0,0.8445
2023-02-18,10:00:00,26.95,80.8,173.5,1.36
2023-02-18,11:00:00,28.35,76.95,142.0,1.36
2023-02-18,12:00:00,28.7,75.0,132.0,0.857
2023-02-18,13:00:00,28.65,75.3,116.5,1.002
2023-02-18,14:00:00,26.3,83.44999999999999,146.5,1.2585
2023-02-18,15:00:00,24.15,93.0,263.0,1.295
2023-02-18,16:00:00,23.700000000000003,96.05,261.0,1.765
2023-02-18,17:00:00,23.5,96.95,181.0,1.465
2023-02-19,06:00:00,23.7,93.65,197.0,0.3725
2023-02-19,07:00:00,23.55,94.05,183.5,0.4545
2023-02-19,08:00:00,24.05,94.45,180.5,0.655
2023-02-19,09:00:00,24.95,92.35,129.5,1.0045
2023-02-19,10:00:00,26.45,86.1,170.5,0.8574999999999999
2023-02-19,11:00:00,28.25,77.8,166.0,0.9415
2023-02-19,12:00:00,29.4,72.5,145.0,0.774
2023-02-19,13:00:00,29.25,73.1,151.0,0.748
2023-02-19,14:00:00,30.1,71.5,153.0,0.877
2023-02-19,15:00:00,30.3,67.4,243.0,1.485
2023-02-19,16:00:00,29.65,71.19999999999999,235.5,1.3
2023-02-19,17:00:00,29.700000000000003,72.0,221.5,1.65
2023-02-20,06:00:00,23.2,93.9,185.0,0.3855
2023-02-20,07:00:00,23.25,94.2,183.5,0.47
2023-02-20,08:00:00,23.45,94.5,110.35,0.265
2023-02-20,09:00:00,23.85,94.3,120.0,0.5125
2023-02-20,10:00:00,24.65,91.15,94.6,0.784
2023-02-20,11:00:00,24.8,89.25,124.5,0.8160000000000001
2023-02-20,12:00:00,26.1,84.0,143.5,1.26
2023-02-20,13:00:00,27.1,80.35,144.0,1.545
2023-02-20,14:00:00,27.15,79.65,122.0,1.375
2023-02-20,15:00:00,26.65,81.55,221.5,0.9765
2023-02-20,16:00:00,24.6,91.75,157.0,0.982
2023-02-20,17:00:00,24.4,94.05,150.5,0.3835
2023-02-21,06:00:00,23.25,96.3,175.0,0.556
2023-02-21,07:00:00,22.7,96.0,194.0,0.4925
2023-02-21,08:00:00,22.7,96.25,158.0,0.789
2023-02-21,09:00:00,22.75,96.45,163.5,0.4554999999999999
2023-02-21,10:00:00,22.8,96.5,219.5,0.775
2023-02-21,11:00:00,23.700000000000003,95.4,186.0,0.7215
2023-02-21,12:00:00,24.8,89.19999999999999,209.5,0.8175
2023-02-21,13:00:00,26.3,83.6,248.5,1.575
2023-02-21,14:00:00,26.95,80.65,260.0,2.115
2023-02-21,15:00:00,28.5,74.3,239.5,1.385
2023-02-21,16:00:00,29.5,71.0,266.0,1.425
2023-02-21,17:00:00,29.45,70.6,265.0,1.3450000000000002
2023-02-22,06:00:00,23.35,95.4,158.0,0.378
2023-02-22,07:00:00,23.35,95.55,180.5,0.427
2023-02-22,08:00:00,23.6,95.5,186.5,0.72
2023-02-22,09:00:00,23.9,94.65,186.5,0.494
2023-02-22,10:00:00,24.85,91.65,200.5,1.17
2023-02-22,11:00:00,26.950000000000003,83.2,176.5,1.64
2023-02-22,12:00:00,29.1,76.7,116.5,1.095
2023-02-22,13:00:00,29.6,73.85,188.0,1.0750000000000002
2023-02-22,14:00:00,31.15,68.35,180.0,0.8985
2023-02-22,15:00:00,31.85,63.15,214.0,1.185
2023-02-22,16:00:00,31.25,65.1,185.0,1.1545
2023-02-22,17:00:00,29.2,73.15,147.5,1.2000000000000002
2023-02-23,06:00:00,23.65,91.65,218.0,0.6065
2023-02-23,07:00:00,23.65,90.4,214.0,0.398
2023-02-23,08:00:00,24.55,87.75,230.0,0.7925
2023-02-23,09:00:00,26.05,83.94999999999999,146.5,0.6935
2023-02-23,10:00:00,26.7,81.6,195.0,0.58
2023-02-23,11:00:00,27.6,79.05,216.0,1.013
2023-02-23,12:00:00,29.0,74.94999999999999,180.0,0.9945
2023-02-23,13:00:00,30.3,70.7,172.0,0.8089999999999999
2023-02-23,14:00:00,30.6,71.6,132.0,0.845
2023-02-23,15:00:00,30.6,71.2,140.0,0.8855
2023-02-23,16:00:00,28.950000000000003,76.30000000000001,193.0,0.8275
2023-02-23,17:00:00,25.15,91.2,236.5,1.545
2023-02-24,06:00:00,23.9,95.5,214.0,0.4365
2023-02-24,07:00:00,23.95,95.65,217.5,0.4715
2023-02-24,08:00:00,24.65,94.3,129.5,0.392
2023-02-24,09:00:00,25.9,87.75,129.0,0.436
