"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-03-11 07:00:00,97.2 %H
2023-03-11 08:00:00,97.4 %H
2023-03-11 09:00:00,93.5 %H
2023-03-11 10:00:00,87.3 %H
2023-03-11 11:00:00,78.5 %H
2023-03-11 12:00:00,74.4 %H
2023-03-11 13:00:00,70.0 %H
2023-03-11 14:00:00,67.7 %H
2023-03-11 15:00:00,72.1 %H
2023-03-11 16:00:00,74.6 %H
2023-03-11 17:00:00,78.1 %H
2023-03-11 18:00:00,80.0 %H
2023-03-11 19:00:00,83.2 %H
2023-03-11 20:00:00,87.2 %H
2023-03-11 21:00:00,85.4 %H
2023-03-11 22:00:00,91.8 %H
2023-03-11 23:00:00,94.8 %H
2023-03-12 00:00:00,94.8 %H
2023-03-12 01:00:00,94.1 %H
2023-03-12 02:00:00,94.9 %H
2023-03-12 03:00:00,94.4 %H
2023-03-12 04:00:00,94.7 %H
2023-03-12 05:00:00,95.8 %H
2023-03-12 06:00:00,96.4 %H
2023-03-12 07:00:00,95.9 %H
2023-03-12 08:00:00,94.1 %H
2023-03-12 09:00:00,89.3 %H
2023-03-12 10:00:00,84.0 %H
2023-03-12 11:00:00,80.2 %H
2023-03-12 12:00:00,76.1 %H
2023-03-12 13:00:00,72.3 %H
2023-03-12 14:00:00,69.3 %H
2023-03-12 15:00:00,70.4 %H
2023-03-12 16:00:00,75.0 %H
2023-03-12 17:00:00,77.5 %H
2023-03-12 18:00:00,77.8 %H
2023-03-12 19:00:00,79.7 %H
2023-03-12 20:00:00,81.6 %H
2023-03-12 21:00:00,83.2 %H
2023-03-12 22:00:00,84.6 %H
2023-03-12 23:00:00,86.8 %H
2023-03-13 00:00:00,89.6 %H
2023-03-13 01:00:00,90.2 %H
2023-03-13 02:00:00,90.6 %H
2023-03-13 03:00:00,91.9 %H
2023-03-13 04:00:00,91.9 %H
2023-03-13 05:00:00,92.7 %H
2023-03-13 06:00:00,93.5 %H
2023-03-13 07:00:00,93.8 %H
2023-03-13 08:00:00,93.8 %H
2023-03-13 09:00:00,87.1 %H
2023-03-13 10:00:00,82.0 %H
2023-03-13 11:00:00,76.2 %H
2023-03-13 12:00:00,70.1 %H
2023-03-13 13:00:00,67.8 %H
2023-03-13 14:00:00,70.8 %H
2023-03-13 15:00:00,72.6 %H
2023-03-13 16:00:00,70.2 %H
2023-03-13 17:00:00,69.5 %H
2023-03-13 18:00:00,77.1 %H
2023-03-13 19:00:00,80.6 %H
2023-03-13 20:00:00,76.8 %H
2023-03-13 21:00:00,76.8 %H
2023-03-13 22:00:00,80.4 %H
2023-03-13 23:00:00,85.6 %H
2023-03-14 00:00:00,88.4 %H
2023-03-14 01:00:00,87.3 %H
2023-03-14 02:00:00,87.4 %H
2023-03-14 03:00:00,90.6 %H
