"Time","atm_temp {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-04-25 12:00:00,29.1 °C
2023-04-25 13:00:00,29.4 °C
2023-04-25 14:00:00,29.1 °C
2023-04-25 15:00:00,29.2 °C
2023-04-25 16:00:00,29.2 °C
2023-04-25 17:00:00,28.3 °C
2023-04-25 18:00:00,26.3 °C
2023-04-25 19:00:00,26.4 °C
2023-04-25 20:00:00,26.5 °C
2023-04-25 21:00:00,25.9 °C
2023-04-25 22:00:00,25.9 °C
2023-04-25 23:00:00,25.8 °C
2023-04-26 00:00:00,25.4 °C
2023-04-26 01:00:00,25.0 °C
2023-04-26 02:00:00,24.3 °C
2023-04-26 03:00:00,23.7 °C
2023-04-26 04:00:00,23.0 °C
2023-04-26 05:00:00,22.8 °C
2023-04-26 06:00:00,22.9 °C
2023-04-26 07:00:00,22.8 °C
2023-04-26 08:00:00,23.3 °C
2023-04-26 09:00:00,24.8 °C
2023-04-26 10:00:00,26.3 °C
2023-04-26 11:00:00,27.7 °C
2023-04-26 12:00:00,28.7 °C
2023-04-26 13:00:00,29.7 °C
2023-04-26 14:00:00,29.8 °C
2023-04-26 15:00:00,29.6 °C
2023-04-26 16:00:00,29.3 °C
2023-04-26 17:00:00,28.5 °C
2023-04-26 18:00:00,27.9 °C
2023-04-26 19:00:00,26.6 °C
2023-04-26 20:00:00,26.3 °C
2023-04-26 21:00:00,25.9 °C
2023-04-26 22:00:00,25.7 °C
2023-04-26 23:00:00,25.9 °C
2023-04-27 00:00:00,25.9 °C
2023-04-27 01:00:00,25.8 °C
2023-04-27 02:00:00,26.0 °C
2023-04-27 03:00:00,25.8 °C
2023-04-27 04:00:00,25.6 °C
2023-04-27 05:00:00,25.3 °C
2023-04-27 06:00:00,25.5 °C
2023-04-27 07:00:00,25.6 °C
2023-04-27 08:00:00,25.2 °C
2023-04-27 09:00:00,26.5 °C
2023-04-27 10:00:00,27.8 °C
2023-04-27 11:00:00,28.1 °C
2023-04-27 12:00:00,29.1 °C
2023-04-27 13:00:00,30.9 °C
2023-04-27 14:00:00,31.7 °C
2023-04-27 15:00:00,31.9 °C
2023-04-27 16:00:00,31.4 °C
2023-04-27 17:00:00,30.1 °C
2023-04-27 18:00:00,29.2 °C
2023-04-27 19:00:00,26.2 °C
2023-04-27 20:00:00,25.3 °C
2023-04-27 21:00:00,25.2 °C
2023-04-27 22:00:00,24.9 °C
2023-04-27 23:00:00,24.9 °C
2023-04-28 00:00:00,24.7 °C
2023-04-28 01:00:00,24.6 °C
2023-04-28 02:00:00,24.4 °C
2023-04-28 03:00:00,24.4 °C
2023-04-28 04:00:00,24.2 °C
2023-04-28 05:00:00,24.0 °C
2023-04-28 06:00:00,23.7 °C
2023-04-28 07:00:00,23.8 °C
2023-04-28 08:00:00,24.3 °C
2023-04-28 09:00:00,25.5 °C
2023-04-28 10:00:00,27.1 °C
2023-04-28 11:00:00,28.6 °C
2023-04-28 12:00:00,29.6 °C
2023-04-28 13:00:00,29.7 °C
2023-04-28 14:00:00,29.1 °C
2023-04-28 15:00:00,29.9 °C
2023-04-28 16:00:00,28.8 °C
2023-04-28 17:00:00,25.3 °C
2023-04-28 18:00:00,23.9 °C
2023-04-28 19:00:00,23.6 °C
2023-04-28 20:00:00,23.7 °C
2023-04-28 21:00:00,23.7 °C
2023-04-28 22:00:00,24.3 °C
2023-04-28 23:00:00,23.9 °C
2023-04-29 00:00:00,23.1 °C
2023-04-29 01:00:00,23.4 °C
2023-04-29 02:00:00,23.6 °C
2023-04-29 03:00:00,23.6 °C
2023-04-29 04:00:00,23.4 °C
2023-04-29 05:00:00,23.3 °C
2023-04-29 06:00:00,23.1 °C
2023-04-29 07:00:00,23.1 °C
2023-04-29 08:00:00,24.1 °C
2023-04-29 09:00:00,25.4 °C
2023-04-29 10:00:00,26.5 °C
2023-04-29 11:00:00,28.0 °C
2023-04-29 12:00:00,29.1 °C
2023-04-29 13:00:00,30.5 °C
2023-04-29 14:00:00,31.3 °C
2023-04-29 15:00:00,32.0 °C
2023-04-29 16:00:00,31.1 °C
2023-04-29 17:00:00,27.0 °C
2023-04-29 18:00:00,24.7 °C
2023-04-29 19:00:00,24.1 °C
2023-04-29 20:00:00,24.2 °C
2023-04-29 21:00:00,24.3 °C
2023-04-29 22:00:00,23.4 °C
2023-04-29 23:00:00,22.9 °C
2023-04-30 00:00:00,23.3 °C
2023-04-30 01:00:00,23.4 °C
2023-04-30 02:00:00,23.6 °C
2023-04-30 03:00:00,23.7 °C
2023-04-30 04:00:00,23.7 °C
2023-04-30 05:00:00,23.8 °C
2023-04-30 06:00:00,23.5 °C
2023-04-30 07:00:00,23.4 °C
2023-04-30 08:00:00,24.5 °C
2023-04-30 09:00:00,26.0 °C
2023-04-30 10:00:00,27.7 °C
2023-04-30 11:00:00,29.3 °C
2023-04-30 12:00:00,30.0 °C
2023-04-30 13:00:00,30.4 °C
2023-04-30 14:00:00,30.2 °C
2023-04-30 15:00:00,30.4 °C
2023-04-30 16:00:00,30.8 °C
2023-04-30 17:00:00,25.5 °C
2023-04-30 18:00:00,23.1 °C
2023-04-30 19:00:00,23.8 °C
2023-04-30 20:00:00,23.9 °C
2023-04-30 21:00:00,23.7 °C
2023-04-30 22:00:00,24.2 °C
2023-04-30 23:00:00,24.2 °C
2023-05-01 00:00:00,24.1 °C

