"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-05-09 18:00:00,0.715 m/s
2023-05-09 19:00:00,0.967 m/s
2023-05-09 20:00:00,1.16 m/s
2023-05-09 21:00:00,1.26 m/s
2023-05-09 22:00:00,0.737 m/s
2023-05-09 23:00:00,0.574 m/s
2023-05-10 00:00:00,0.774 m/s
2023-05-10 01:00:00,0.490 m/s
2023-05-10 02:00:00,0.332 m/s
2023-05-10 03:00:00,0.467 m/s
2023-05-10 04:00:00,0.130 m/s
2023-05-10 05:00:00,0.321 m/s
2023-05-10 06:00:00,0.259 m/s
2023-05-10 07:00:00,0.137 m/s
2023-05-10 08:00:00,0.536 m/s
2023-05-10 09:00:00,1.06 m/s
2023-05-10 10:00:00,0.702 m/s
2023-05-10 11:00:00,0.886 m/s
2023-05-10 12:00:00,0.423 m/s
2023-05-10 13:00:00,0.567 m/s
2023-05-10 14:00:00,0.812 m/s
2023-05-10 15:00:00,1.29 m/s
2023-05-10 16:00:00,1.25 m/s
2023-05-10 17:00:00,0.495 m/s
2023-05-10 18:00:00,0.391 m/s
2023-05-10 19:00:00,0.307 m/s
2023-05-10 20:00:00,0.270 m/s
2023-05-10 21:00:00,1.34 m/s
2023-05-10 22:00:00,0.793 m/s
2023-05-10 23:00:00,0.614 m/s
2023-05-11 00:00:00,0.200 m/s
2023-05-11 01:00:00,0.279 m/s
2023-05-11 02:00:00,0.403 m/s
2023-05-11 03:00:00,0.460 m/s
2023-05-11 04:00:00,0.889 m/s
2023-05-11 05:00:00,0.633 m/s
2023-05-11 06:00:00,0.846 m/s
2023-05-11 07:00:00,0.168 m/s
2023-05-11 08:00:00,0.537 m/s
2023-05-11 09:00:00,0.973 m/s
2023-05-11 10:00:00,1.04 m/s
2023-05-11 11:00:00,1.09 m/s
2023-05-11 12:00:00,0.586 m/s
2023-05-11 13:00:00,0.719 m/s
2023-05-11 14:00:00,0.735 m/s
2023-05-11 15:00:00,1.33 m/s
